id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
27604,Earnest,3/4/2021,d,11.5,Charge pay,USD,,fee
27605,Adobe,3/4/2021,d,11,TV,USD,5045,pmt
27606,Glovo,3/5/2021,d,42.9,Food delivery,USD,5811,pmt
27607,Glovo,3/5/2021,d,22,Food delivery,USD,5811,pmt
27608,Lidl,3/5/2021,d,93.7,Supermaket shopping,USD,5200,pmt
27609,Electro distribution,3/6/2021,d,45.8,Utilities payment,USD,,pmt
27610,Apple,3/6/2021,d,15.9,Spotify premium subscription,USD,5733,pmt
27611,Wolt,3/6/2021,d,40.6,Food delivery,USD,5811,pmt
27612,Glovo,3/6/2021,d,36.8,Food delivery,USD,5811,pmt
27613,Hertz,3/6/2021,d,14.5,Taxi,USD,7519,pmt
27614,A1 Telecom,3/7/2021,d,5.5,Phone bill,USD,,pmt
27615,A1 Telecom,3/7/2021,d,34,Internet bill,USD,,pmt
27616,Delhaize,3/7/2021,d,37.7,Supermaket shopping,USD,5499,pmt
27617,Glovo,3/7/2021,d,39.3,Food delivery,USD,5811,pmt
27618,Pet shop,3/7/2021,d,23.8,Shopping,USD,5995,pmt
27619,Spotify,3/8/2021,d,15.6,Apple music subscription,USD,5733,pmt
27620,Wolt,3/8/2021,d,37.5,Food delivery,USD,5811,pmt
27621,Earnest,3/8/2021,d,6.7,Charge pay,USD,,fee
27622,A1 Telecom,3/9/2021,d,20.5,Mobile phone bill,USD,,pmt
27623,Electro distribution,3/9/2021,d,66.1,Utilities payment,USD,,pmt
27624,Delhaize,3/9/2021,d,37.9,Supermaket shopping,USD,5499,pmt
27625,Pet salon Rex,3/9/2021,d,10.5,Grooming,USD,,pmt
27626,Bank of America,3/10/2021,d,5.7,ATM withdrawal fee,USD,,fee
27627,Wolt,3/10/2021,d,22.5,Food delivery,USD,5811,pmt
27628,PersonalLoans,3/10/2021,d,12.5,Charge pay,USD,,fee
27629,Protetcta,3/11/2021,d,29.4,Doctor's appointment,USD,8011,pmt
27630,Glovo,3/12/2021,d,22.8,Food delivery,USD,5811,pmt
27631,Lidl,3/13/2021,d,30.2,Supermaket shopping,USD,5499,pmt
27632,Lidl,3/13/2021,d,34.9,Supermaket shopping,USD,5499,pmt
27633,A1 Telecom,3/14/2021,d,18.6,Mobile phone bill,USD,,pmt
27634,Delhaize,3/14/2021,d,30.3,Supermaket shopping,USD,5499,pmt
27635,Glovo,3/14/2021,d,31.2,Food delivery,USD,5811,pmt
27636,Lending Club,3/14/2021,d,70.4,Loan Payment,USD,,pmt
27637,Wolt,3/15/2021,d,18.4,Food delivery,USD,5811,pmt
27638,Wolt,3/15/2021,d,19.9,Food delivery,USD,5811,pmt
27639,Asseco,3/15/2021,c,"2,457.20",Salary,USD,,sal
27640,City parkings,3/16/2021,d,2.7,Parking fee,USD,7523,pmt
27641,Heating,3/16/2021,d,34,Utilities payment,USD,,pmt
27642,Hulu,3/16/2021,d,9.5,Netflix subscription,USD,,pmt
27643,Lidl,3/16/2021,d,40,Supermaket shopping,USD,5499,pmt
27644,Glovo,3/16/2021,d,44,Food delivery,USD,5811,pmt
27645,Faculty of contemporary arts,3/17/2021,d,155.1,Tuition,USD,8299,pmt
27646,Adobe,3/17/2021,d,19.5,Games,USD,5045,pmt
27647,,3/18/2021,d,127.8,ATM withdrawal,USD,,wdw
27648,T-Mobile,3/18/2021,d,13.2,Mobile phone bill,USD,,pmt
27649,National Geographic,3/18/2021,d,5.5,New York Times,USD,5192,pmt
27650,Delhaize,3/18/2021,d,39.8,Supermaket shopping,USD,5499,pmt
27651,Raiffeisen Leasing,3/19/2021,d,451,Financial leasing,USD,7394,pmt
27652,MetLife,3/19/2021,d,200.8,Life insurance premium,USD,6300,pmt
27653,Lidl,3/19/2021,d,33.5,Supermaket shopping,USD,5499,pmt
27654,Glovo,3/19/2021,d,39.1,Food delivery,USD,5811,pmt
27655,Fit and Fun,3/19/2021,d,25.6,Gym membership,USD,,pmt
27656,R-Pharm,3/19/2021,d,39.8,Medicine,USD,5912,pmt
27657,Visa,3/19/2021,d,83.2,Pay with Mastercard,USD,,pmt
27658,Hertz,3/19/2021,d,15.6,Taxi,USD,7519,pmt
27659,Glovo,3/20/2021,d,29.3,Food delivery,USD,5811,pmt
27660,UniCredit Leasing,3/21/2021,d,450,Financial leasing,USD,7394,pmt
27661,A1 Telecom,3/21/2021,d,14.2,Mobile phone bill,USD,,pmt
27662,Bank of America,3/21/2021,d,4.8,Online banking fee,USD,,fee
27663,Glovo,3/21/2021,d,36.9,Food delivery,USD,5811,pmt
27664,Wolt,3/21/2021,d,47.2,Food delivery,USD,5811,pmt
27665,Serenity Wellnes,3/21/2021,d,20.6,Spa treatment,USD,8050,pmt
27666,New York Times,3/22/2021,d,3.7,National Geographic,USD,5192,pmt
27667,Delhaize,3/22/2021,d,34,Supermaket shopping,USD,5499,pmt
27668,Lidl,3/22/2021,d,31.6,Supermaket shopping,USD,5499,pmt
27669,Glovo,3/22/2021,d,21.8,Food delivery,USD,5811,pmt
27670,Pet store,3/22/2021,d,24.4,Shopping,USD,5995,pmt
27671,R-Pharm,3/23/2021,d,30.7,Medicine,USD,5912,pmt
27672,Serenity Wellnes,3/23/2021,d,20.9,Massage,USD,8050,pmt
27673,Orange,3/24/2021,d,21.9,Internet bill,USD,,pmt
27674,Glovo,3/24/2021,d,48.1,Food delivery,USD,5811,pmt
27675,Wolt,3/24/2021,d,38.8,Food delivery,USD,5811,pmt
27676,Generali,3/24/2021,d,45.6,Extended health insurance,USD,,pmt
27677,Hooters Air,3/24/2021,d,487.3,Ticket pay,USD,,pmt
27678,Revolut,3/25/2021,d,3.4,ATM withdrawal fee,USD,,fee
27679,Glovo,3/25/2021,d,40.1,Food delivery,USD,5811,pmt
27680,Amazon,3/26/2021,d,7.6,Book,USD,,pmt
27681,Wolt,3/26/2021,d,41.5,Food delivery,USD,5811,pmt
27682,Glovo,3/26/2021,d,17.3,Food delivery,USD,5811,pmt
27683,Ikea,3/26/2021,d,45.7,Appliances,USD,5712,pmt
27684,Jill,3/26/2021,d,36.2,Allowance,USD,,pmt
27685,A1 Telecom,3/27/2021,d,34.1,Internet bill,USD,,pmt
27686,Delhaize,3/27/2021,d,37.7,Supermaket shopping,USD,5499,pmt
27687,Wolt,3/27/2021,d,15.2,Food delivery,USD,5811,pmt
27688,Wolt,3/27/2021,d,39.4,Food delivery,USD,5811,pmt
27689,Jill,3/27/2021,d,50.1,Allowance,USD,,pmt
27690,Wolt,3/28/2021,d,36.3,Food delivery,USD,5811,pmt
27691,Glovo,3/28/2021,d,15.2,Food delivery,USD,5811,pmt
27692,Comcast,4/1/2021,d,11,Television bill,USD,,pmt
27693,Delhaize,4/1/2021,d,30.9,Supermaket shopping,USD,5499,pmt
27694,Lidl,4/1/2021,d,34.3,Supermaket shopping,USD,5499,pmt
27695,Glovo,4/1/2021,d,45.3,Food delivery,USD,5811,pmt
27696,Fit and Fun,4/1/2021,d,23.2,Personal trainer,USD,,pmt
27697,Home cleaning service,4/1/2021,d,50.4,Cleaning,USD,,pmt
27698,Home cleaning service,4/1/2021,d,45.8,Cleaning,USD,,pmt
27699,Lending Club,4/1/2021,d,42.4,Loan Payment,USD,,pmt
27700,Electro distribution,4/2/2021,d,90.7,Utilities payment,USD,,pmt
27701,Wolt,4/2/2021,d,26.6,Food delivery,USD,5811,pmt
27702,R-Pharm,4/2/2021,d,38.7,Medicine,USD,5912,pmt
27703,Home cleaning service,4/2/2021,d,47.4,Cleaning,USD,,pmt
27704,Blue moon spa,4/2/2021,d,22.3,Massage,USD,8050,pmt
27705,Travel house,4/2/2021,d,888.7,Vacation,USD,5962,pmt
27706,City parkings,4/3/2021,d,2.9,Parking fee,USD,7523,pmt
27707,Home cleaning service,4/3/2021,d,49.5,Cleaning,USD,,pmt
27708,Asseco,4/3/2021,c,"2,313.30",Salary,USD,,sal
27709,Serenity Wellnes,4/3/2021,d,23.5,Massage,USD,8050,pmt
27710,Wolt,4/4/2021,d,29,Food delivery,USD,5811,pmt
27711,Home cleaning service,4/4/2021,d,50.3,Cleaning,USD,,pmt
27712,Wells Fargo,4/4/2021,d,38.2,Loan Payment,USD,,pmt
27713,Office365,4/4/2021,d,16.7,TV,USD,5045,pmt
27714,Hulu,4/5/2021,d,9.5,Netflix subscription,USD,,pmt
27715,Glovo,4/5/2021,d,17.2,Food delivery,USD,5811,pmt
27716,Save our kids,4/5/2021,d,52,Charity,USD,,pmt
27717,Connexus,4/6/2021,d,400.6,Mortgage pay,USD,,pmt
27718,Barber shop,4/6/2021,d,24.6,Hair dye,USD,7230,pmt
27719,Apple,4/7/2021,d,15.7,Apple music subscription,USD,5733,pmt
27720,New York Times,4/7/2021,d,5.7,National Geographic,USD,5192,pmt
27721,Lidl,4/7/2021,d,30.4,Supermaket shopping,USD,5499,pmt
27722,Barber shop,4/7/2021,d,28.8,Hair dye,USD,7230,pmt
27723,Pet shop,4/7/2021,d,23.8,Shopping,USD,5995,pmt
27724,Faculty of contemporary arts,4/8/2021,d,181.6,Tuition,USD,8299,pmt
27725,New York Times,4/8/2021,d,6,National Geographic,USD,5192,pmt
27726,Delhaize,4/8/2021,d,30.7,Supermaket shopping,USD,5499,pmt
27727,Glovo,4/8/2021,d,15.9,Food delivery,USD,5811,pmt
27728,Lidl,4/8/2021,d,93.3,Supermaket shopping,USD,5200,pmt
27729,Hertz,4/8/2021,d,11.8,Taxi,USD,7519,pmt
27730,MetLife,4/10/2021,d,200.1,Life insurance premium,USD,6300,pmt
27731,Swimming pool Activa,4/10/2021,d,13.9,Daily pool ticket,USD,5655,pmt
27732,Residential Property,4/10/2021,d,172.4,Tax pay,USD,9311,pmt
27733,Amazon,4/11/2021,d,13.7,Book,USD,,pmt
27734,MetLife,4/11/2021,d,200.8,Life insurance premium,USD,6300,pmt
27735,Glovo,4/11/2021,d,24.2,Food delivery,USD,5811,pmt
27736,Home cleaning service,4/11/2021,d,48.3,Cleaning,USD,,pmt
27737,Delhaize,4/11/2021,d,82,Supermaket shopping,USD,5200,pmt
27738,,4/12/2021,d,155.3,ATM withdrawal,USD,,wdw
27739,Comcast,4/12/2021,d,16.6,Television bill,USD,,pmt
27740,Tele9,4/12/2021,d,10.6,Television bill,USD,,pmt
27741,Delhaize,4/12/2021,d,34.5,Supermaket shopping,USD,5499,pmt
27742,Delhaize,4/12/2021,d,37.5,Supermaket shopping,USD,5499,pmt
27743,Wolt,4/12/2021,d,43.6,Food delivery,USD,5811,pmt
27744,Generali,4/12/2021,d,45.7,Extended health insurance,USD,,pmt
27745,Lily,4/12/2021,d,38.7,Medicine,USD,5912,pmt
27746,Adobe,4/12/2021,d,18.6,Games,USD,5045,pmt
27747,MasterCard,4/12/2021,d,77.5,Pay with Visa,USD,,pmt
27748,A1 Telecom,4/13/2021,d,24.8,Internet bill,USD,,pmt
27749,Amazon,4/13/2021,d,12.9,Book,USD,,pmt
27750,Asseco,4/13/2021,c,"2,497.10",Salary,USD,,sal
27751,Faculty of contemporary arts,4/14/2021,d,199.3,Tuition,USD,8299,pmt
27752,National Geographic,4/14/2021,d,5.1,National Geographic,USD,5192,pmt
27753,Lidl,4/14/2021,d,39.1,Supermaket shopping,USD,5499,pmt
27754,Glovo,4/14/2021,d,49.5,Food delivery,USD,5811,pmt
27755,Wolt,4/14/2021,d,42.7,Food delivery,USD,5811,pmt
27756,Jill,4/14/2021,d,48.6,Allowance,USD,,pmt
27757,Gerber Products Company,4/14/2021,d,54.7,Baby wardrobe,USD,,pmt
27758,Revolut,4/15/2021,d,5.3,ATM withdrawal fee,USD,,fee
27759,Wolt,4/15/2021,d,33.8,Food delivery,USD,5811,pmt
27760,,4/16/2021,d,242,ATM withdrawal,USD,,wdw
27761,Table tenis club PingPong,4/16/2021,d,11.8,Table tennis 2 hrs,USD,5655,pmt
27762,Emmezeta,4/16/2021,d,52.9,Appliances,USD,5712,pmt
27763,Serenity Wellnes,4/16/2021,d,21.9,Massage,USD,8050,pmt
27764,Office365,4/16/2021,d,19.7,TV,USD,5045,pmt
27765,MasterCard,4/16/2021,d,96.2,Pay with Mastercard,USD,,pmt
27766,Hertz,4/16/2021,d,10.2,Car rent,USD,7519,pmt
27767,National Geographic,4/17/2021,d,4.4,National Geographic,USD,5192,pmt
27768,Revolut,4/17/2021,d,5.6,ATM withdrawal fee,USD,,fee
27769,Bank of America,4/17/2021,d,4.1,Revolut Silver subscription,USD,,fee
27770,MetLife,4/17/2021,d,201,Life insurance premium,USD,6300,pmt
27771,Glovo,4/17/2021,d,15.2,Food delivery,USD,5811,pmt
27772,Protetcta,4/17/2021,d,23.6,Doctor's appointment,USD,8011,pmt
27773,Office365,4/17/2021,d,19,TV,USD,5045,pmt
27774,Electro distribution,4/18/2021,d,54,Utilities payment,USD,,pmt
27775,Faculty of contemporary arts,4/18/2021,d,167.8,Tuition,USD,8299,pmt
27776,New York Times,4/18/2021,d,5.5,New York Times,USD,5192,pmt
27777,Wolt,4/18/2021,d,38.6,Food delivery,USD,5811,pmt
27778,Gift Voucher,4/18/2021,d,171.7,Birthday gifts,USD,5947,pmt
27779,Fit and Fun,4/18/2021,d,25.8,Gym membership,USD,,pmt
27780,Pet salon Rex,4/18/2021,d,10.2,Grooming,USD,,pmt
27781,Music school,4/19/2021,d,157.9,Tuition,USD,8299,pmt
27782,Glovo,4/19/2021,d,47.5,Food delivery,USD,5811,pmt
27783,Gift shop,4/19/2021,d,57.3,Birthday gifts,USD,5947,pmt
27784,Sixt GmbH,4/19/2021,d,11.6,Car rent,USD,7519,pmt
27785,A1 Telecom,4/20/2021,d,12.5,Mobile phone bill,USD,,pmt
27786,Delhaize,4/20/2021,d,37.7,Supermaket shopping,USD,5499,pmt
27787,Wolt,4/20/2021,d,32.6,Food delivery,USD,5811,pmt
27788,City parkings,4/21/2021,d,1.8,Parking fee,USD,7523,pmt
27789,Home cleaning service,4/21/2021,d,51,Cleaning,USD,,pmt
27790,Pet hotel Happy Dog,4/21/2021,d,100.6,Monthly stay,USD,5995,pmt
27791,Real Estate,4/21/2021,d,167.1,Tax pay,USD,9311,pmt
27792,Hulu,4/22/2021,d,5.4,Netflix subscription,USD,,pmt
27793,Glovo,4/22/2021,d,39,Food delivery,USD,5811,pmt
27794,,4/23/2021,d,162,ATM withdrawal,USD,,wdw
27795,Bank of America,4/23/2021,d,4.7,Revolut Silver subscription,USD,,fee
27796,Wolt,4/23/2021,d,21.8,Food delivery,USD,5811,pmt
27797,Glovo,4/23/2021,d,18.7,Food delivery,USD,5811,pmt
27798,Delhaize,4/23/2021,d,90.2,Supermaket shopping,USD,5200,pmt
27799,Karate club,4/23/2021,d,20.6,Club membership,USD,,pmt
27800,Serenity Wellnes,4/23/2021,d,24.9,Massage,USD,8050,pmt
27801,Comcast,4/24/2021,d,18.3,Television bill,USD,,pmt
27802,Book depository,4/24/2021,d,7.2,Amazon Kindle subscription,USD,,pmt
27803,Glovo,4/24/2021,d,16.1,Food delivery,USD,5811,pmt
27804,Glovo,4/24/2021,d,17.8,Food delivery,USD,5811,pmt
27805,Generali,4/24/2021,d,45.4,Extended health insurance,USD,,pmt
27806,Serenity Wellnes,4/24/2021,d,20.1,Massage,USD,8050,pmt
27807,Tele9,4/25/2021,d,10.5,Television bill,USD,,pmt
27808,Glovo,4/25/2021,d,17.5,Food delivery,USD,5811,pmt
27809,Home cleaning service,4/25/2021,d,48.5,Cleaning,USD,,pmt
27810,Lidl,4/25/2021,d,74.1,Supermaket shopping,USD,5200,pmt
27811,,4/26/2021,d,149.2,ATM withdrawal,USD,,wdw
27812,Generali,4/26/2021,d,45,Extended health insurance,USD,,pmt
27813,Wolt,4/27/2021,d,17.9,Food delivery,USD,5811,pmt
27814,Josh,4/27/2021,d,41.1,Allowance,USD,,pmt
27815,Blue moon spa,4/27/2021,d,21.5,Spa treatment,USD,8050,pmt
27816,A1 Telecom,4/28/2021,d,27.2,Internet bill,USD,,pmt
27817,T-Mobile,5/1/2021,d,15.5,Mobile phone bill,USD,,pmt
27818,Heating,5/1/2021,d,53.7,Utilities payment,USD,,pmt
27819,Lidl,5/1/2021,d,30.8,Supermaket shopping,USD,5499,pmt
27820,Wolt,5/1/2021,d,40.5,Food delivery,USD,5811,pmt
27821,Jill,5/1/2021,d,47.9,Allowance,USD,,pmt
27822,Raiffeisen Leasing,5/2/2021,d,450.9,Financial leasing,USD,7394,pmt
27823,Wolt,5/2/2021,d,32.1,Food delivery,USD,5811,pmt
27824,Hertz,5/2/2021,d,13.1,Taxi,USD,7519,pmt
27825,Hulu,5/3/2021,d,9.3,Hulu subscription,USD,,pmt
27826,Fit and Fun,5/3/2021,d,22.7,Gym membership,USD,,pmt
27827,Apple,5/4/2021,d,15.1,Spotify premium subscription,USD,5733,pmt
27828,Lidl,5/4/2021,d,38,Supermaket shopping,USD,5499,pmt
27829,Glovo,5/4/2021,d,15.5,Food delivery,USD,5811,pmt
27830,Sixt GmbH,5/4/2021,d,11.3,Taxi,USD,7519,pmt
27831,Sixt GmbH,5/4/2021,d,12.4,Car rent,USD,7519,pmt
27832,,5/5/2021,d,190.3,ATM withdrawal,USD,,wdw
27833,City parkings,5/5/2021,d,2.8,Parking fee,USD,7523,pmt
27834,A1 Telecom,5/5/2021,d,29.5,Internet bill,USD,,pmt
27835,Glovo,5/5/2021,d,18.6,Food delivery,USD,5811,pmt
27836,,5/6/2021,d,153.3,ATM withdrawal,USD,,wdw
27837,Comcast,5/6/2021,d,10.3,Television bill,USD,,pmt
27838,Bank of America,5/6/2021,d,7.6,Online banking fee,USD,,fee
27839,Wolt,5/6/2021,d,47.2,Food delivery,USD,5811,pmt
27840,Asseco,5/6/2021,c,"2,446.90",Salary,USD,,sal
27841,Wolt,5/7/2021,d,48.8,Food delivery,USD,5811,pmt
27842,Wolt,5/7/2021,d,16.9,Food delivery,USD,5811,pmt
27843,Lending Club,5/7/2021,d,64,Loan Payment,USD,,pmt
27844,MetLife,5/8/2021,d,200.4,Life insurance premium,USD,6300,pmt
27845,Lidl,5/8/2021,d,40.1,Supermaket shopping,USD,5499,pmt
27846,Wolt,5/8/2021,d,33.9,Food delivery,USD,5811,pmt
27847,,5/9/2021,d,241.1,ATM withdrawal,USD,,wdw
27848,Bank of America,5/9/2021,d,5,Revolut Silver subscription,USD,,fee
27849,Orange,5/10/2021,d,34.6,Internet bill,USD,,pmt
27850,Claire Stevens,5/10/2021,c,300.4,Monthly rent,USD,,dep
27851,Heating,5/11/2021,d,50.9,Utilities payment,USD,,pmt
27852,Electro distribution,5/11/2021,d,46,Utilities payment,USD,,pmt
27853,Wolt,5/11/2021,d,28.9,Food delivery,USD,5811,pmt
27854,Wolt,5/11/2021,d,46.3,Food delivery,USD,5811,pmt
27855,Coinbase,5/11/2021,c,645.6,Cryptocurrency sales,USD,,dep
27856,Glovo,5/12/2021,d,33.5,Food delivery,USD,5811,pmt
27857,Swimming pool Activa,5/12/2021,d,15.2,Daily pool ticket,USD,5655,pmt
27858,Coinbase,5/12/2021,c,724.2,Project based fee,USD,,dep
27859,A1 Telecom,5/13/2021,d,33.2,Internet bill,USD,,pmt
27860,Hulu,5/13/2021,d,8.6,Netflix subscription,USD,,pmt
27861,Glovo,5/13/2021,d,50.1,Food delivery,USD,5811,pmt
27862,Pet hotel Happy Dog,5/13/2021,d,100.5,Monthly stay,USD,5995,pmt
27863,Wolt,5/15/2021,d,17.6,Food delivery,USD,5811,pmt
27864,Lidl,5/15/2021,d,77.3,Supermaket shopping,USD,5200,pmt
27865,Lidl,5/15/2021,d,90,Supermaket shopping,USD,5200,pmt
27866,PersonalLoans,5/15/2021,d,7,Charge pay,USD,,fee
27867,Bank of America,5/16/2021,d,5,Online banking fee,USD,,fee
27868,Delhaize,5/16/2021,d,39.9,Supermaket shopping,USD,5499,pmt
27869,Lidl,5/16/2021,d,30.1,Supermaket shopping,USD,5499,pmt
27870,Delhaize,5/16/2021,d,83.9,Supermaket shopping,USD,5200,pmt
27871,Volvo service,5/17/2021,d,225,Regular service,USD,7538,pmt
27872,Wolt,5/17/2021,d,46.6,Food delivery,USD,5811,pmt
27873,Medilife,5/17/2021,d,48.5,Specialist,USD,8011,pmt
27874,Revolut,5/17/2021,c,273.3,Interest,USD,,dep
27875,Adobe,5/17/2021,d,15.2,Games,USD,5045,pmt
27876,Wolt,5/18/2021,d,29.2,Food delivery,USD,5811,pmt
27877,Glovo,5/18/2021,d,20.3,Food delivery,USD,5811,pmt
27878,Glovo,5/18/2021,d,25.4,Food delivery,USD,5811,pmt
27879,Orange,5/19/2021,d,5.7,Phone bill,USD,,pmt
27880,A1 Telecom,5/19/2021,d,13.2,Mobile phone bill,USD,,pmt
27881,Book depository,5/19/2021,d,121.6,Books,USD,,pmt
27882,Lidl,5/19/2021,d,31.5,Supermaket shopping,USD,5499,pmt
27883,Glovo,5/19/2021,d,45.2,Food delivery,USD,5811,pmt
27884,Glovo,5/19/2021,d,36.9,Food delivery,USD,5811,pmt
27885,Glovo,5/19/2021,d,45.1,Food delivery,USD,5811,pmt
27886,Fit and Fun,5/19/2021,d,21.8,Personal trainer,USD,,pmt
27887,Pet hotel Happy Dog,5/19/2021,d,100.9,Monthly stay,USD,5995,pmt
27888,Tele9,5/20/2021,d,14.5,Television bill,USD,,pmt
27889,Faculty of contemporary arts,5/20/2021,d,186.5,Tuition,USD,8299,pmt
27890,Delhaize,5/20/2021,d,34.3,Supermaket shopping,USD,5499,pmt
27891,Wolt,5/20/2021,d,21.6,Food delivery,USD,5811,pmt
27892,Lidl,5/20/2021,d,100.6,Supermaket shopping,USD,5200,pmt
27893,Josh,5/20/2021,d,35.7,Allowance,USD,,pmt
27894,Book depository,5/21/2021,d,13.4,Book,USD,,pmt
27895,Wolt,5/21/2021,d,44.4,Food delivery,USD,5811,pmt
27896,Electro distribution,5/22/2021,d,91.2,Utilities payment,USD,,pmt
27897,Amazon,5/22/2021,d,13.8,Book,USD,,pmt
27898,Delhaize,5/22/2021,d,33.7,Supermaket shopping,USD,5499,pmt
27899,Dental Plus,5/22/2021,d,30.3,Doctor's appointment,USD,8011,pmt
27900,Pet hotel Happy Dog,5/22/2021,d,100.3,Monthly stay,USD,5995,pmt
27901,A1 Telecom,5/23/2021,d,33.5,Internet bill,USD,,pmt
27902,Glovo,5/23/2021,d,34.8,Food delivery,USD,5811,pmt
27903,Glovo,5/23/2021,d,40.4,Food delivery,USD,5811,pmt
27904,Swimming school,5/23/2021,d,21.2,Membership,USD,,pmt
27905,Legend,5/23/2021,d,230.2,Clothes,USD,,pmt
27906,Office365,5/23/2021,d,11.9,Games,USD,5045,pmt
27907,Sixt GmbH,5/23/2021,d,10,Car rent,USD,7519,pmt
27908,Heating,5/24/2021,d,83.3,Utilities payment,USD,,pmt
27909,Wolt,5/24/2021,d,46.7,Food delivery,USD,5811,pmt
27910,Swimming pool Activa,5/24/2021,d,12.1,Table tennis 2 hrs,USD,5655,pmt
27911,Swimming school,5/24/2021,d,28.4,Membership,USD,,pmt
27912,A1 Telecom,5/25/2021,d,15,Mobile phone bill,USD,,pmt
27913,Glovo,5/25/2021,d,33.6,Food delivery,USD,5811,pmt
27914,Wolt,5/25/2021,d,27.9,Food delivery,USD,5811,pmt
27915,Wolt,5/25/2021,d,37.5,Food delivery,USD,5811,pmt
27916,Glovo,5/25/2021,d,33.8,Food delivery,USD,5811,pmt
27917,Serenity Wellnes,5/25/2021,d,21.8,Massage,USD,8050,pmt
27918,Best Western,5/25/2021,d,"1,563.50",Hotel,USD,7011,pmt
27919,Faculty of contemporary arts,5/26/2021,d,164.6,Tuition,USD,8299,pmt
27920,Fit and Fun,5/26/2021,d,24.3,Gym membership,USD,,pmt
27921,Faculty of contemporary arts,5/27/2021,d,180.2,Tuition,USD,8299,pmt
27922,Wolt,5/27/2021,d,45.8,Food delivery,USD,5811,pmt
27923,Wolt,5/27/2021,d,36.6,Food delivery,USD,5811,pmt
27924,Wolt,5/27/2021,d,22.4,Food delivery,USD,5811,pmt
27925,Claire Stevens,5/27/2021,c,300.1,Monthly rent,USD,,dep
27926,Office365,5/27/2021,d,18.7,Games,USD,5045,pmt
27927,Orange,5/28/2021,d,20.6,Internet bill,USD,,pmt
27928,Delhaize,5/28/2021,d,32.9,Supermaket shopping,USD,5499,pmt
27929,Lidl,5/28/2021,d,36.1,Supermaket shopping,USD,5499,pmt
27930,Earnest,5/28/2021,d,9.6,Charge pay,USD,,fee
27931,A1 Telecom,6/1/2021,d,17.3,Mobile phone bill,USD,,pmt
27932,Glovo,6/1/2021,d,48.1,Food delivery,USD,5811,pmt
27933,Glovo,6/1/2021,d,41.4,Food delivery,USD,5811,pmt
27934,Wolt,6/1/2021,d,35.2,Food delivery,USD,5811,pmt
27935,Karate club,6/1/2021,d,28.6,Club membership,USD,,pmt
27936,Lending Club,6/1/2021,d,40.2,Loan Payment,USD,,pmt
27937,T-Mobile,6/2/2021,d,17.8,Mobile phone bill,USD,,pmt
27938,Music school,6/2/2021,d,187.4,Tuition,USD,8299,pmt
27939,Wolt,6/2/2021,d,50.6,Food delivery,USD,5811,pmt
27940,Glovo,6/2/2021,d,25.6,Food delivery,USD,5811,pmt
27941,Generali,6/2/2021,d,46,Extended health insurance,USD,,pmt
27942,Hertz,6/2/2021,d,13.8,Car rent,USD,7519,pmt
27943,UniCredit Leasing,6/3/2021,d,450.1,Financial leasing,USD,7394,pmt
27944,MetLife,6/3/2021,d,201,Life insurance premium,USD,6300,pmt
27945,Glovo,6/3/2021,d,37.7,Food delivery,USD,5811,pmt
27946,Glovo,6/3/2021,d,20.4,Food delivery,USD,5811,pmt
27947,Lily,6/3/2021,d,32.1,Medicine,USD,5912,pmt
27948,Visa,6/3/2021,d,43,Pay with Mastercard,USD,,pmt
27949,Sixt GmbH,6/3/2021,d,10.3,Car rent,USD,7519,pmt
27950,A1 Telecom,6/4/2021,d,6.2,Phone bill,USD,,pmt
27951,Glovo,6/4/2021,d,28.9,Food delivery,USD,5811,pmt
27952,Glovo,6/4/2021,d,38.6,Food delivery,USD,5811,pmt
27953,,6/5/2021,d,176.4,ATM withdrawal,USD,,wdw
27954,Glovo,6/5/2021,d,32.1,Food delivery,USD,5811,pmt
27955,Glovo,6/5/2021,d,19.1,Food delivery,USD,5811,pmt
27956,Glovo,6/6/2021,d,49.8,Food delivery,USD,5811,pmt
27957,Generali,6/6/2021,d,45.1,Extended health insurance,USD,,pmt
27958,Springfield,6/6/2021,d,276.2,Fotwear,USD,,pmt
27959,Wolt,6/7/2021,d,24.3,Food delivery,USD,5811,pmt
27960,Generali,6/7/2021,d,45.6,Extended health insurance,USD,,pmt
27961,A1 Telecom,6/8/2021,d,5.7,Phone bill,USD,,pmt
27962,A1 Telecom,6/8/2021,d,26.7,Internet bill,USD,,pmt
27963,Lidl,6/8/2021,d,34.7,Supermaket shopping,USD,5499,pmt
27964,Wolt,6/8/2021,d,30.6,Food delivery,USD,5811,pmt
27965,City parkings,6/9/2021,d,2.5,Parking fee,USD,7523,pmt
27966,City parkings,6/9/2021,d,1.6,Parking fee,USD,7523,pmt
27967,Spotify,6/9/2021,d,15.7,Apple music subscription,USD,5733,pmt
27968,MetLife,6/9/2021,d,200.4,Life insurance premium,USD,6300,pmt
27969,Claire Stevens,6/9/2021,c,300.7,Monthly rent,USD,,dep
27970,City parkings,6/10/2021,d,1.4,Parking fee,USD,7523,pmt
27971,Faculty of contemporary arts,6/10/2021,d,166,Tuition,USD,8299,pmt
27972,Glovo,6/10/2021,d,34.8,Food delivery,USD,5811,pmt
27973,Earnest,6/10/2021,d,7.1,Charge pay,USD,,fee
27974,The barbers,6/10/2021,d,31.1,Haircut,USD,7230,pmt
27975,Hertz,6/10/2021,d,15.4,Car rent,USD,7519,pmt
